Tile ID,Image ID,Date,Region,Country,Biome Type,Latitude,Longitude,Elevation (m),Slope (°),Rainfall (mm),Temperature (°C),Cloud Cover (%),Fire Alerts (7d),NDVI (Vegetation Index),NDMI (Moisture Index),EVI (Enhanced Vegetation Index),Tree Cover (%),Canopy Height (m),Distance to Road (km),Distance to Settlement (km),Distance to River (km),"Protected Area (1=Yes,0=No)","Logging Concession (1=Yes,0=No)",Population Density (per km²),Forest Loss Last 3Y (%),Cumulative Deforested Area (%),"Deforestation Event (Yes=1,No=0)",Predicted Risk Score,Dataset Split,Image File Path
T0001,T0001_20240101,1/1/2024,Congo Basin,DRC,Tropical Rainforest,-3.07997,17.87613,488.1,2.8,431.6,24.3,50.6,5,0.63,0.253,0.507,91.2,28.4,1.98,32.56,6.1,0,0,13.7,33.1,0,0,0.897,test,s3://sat-imagery/congobasin/T0001/2024/01/01/tile.tif
T0001,T0001_20240201,2/1/2024,Congo Basin,DRC,Tropical Rainforest,-3.07997,17.87613,488.1,2.8,428.8,23.9,46.5,6,0.672,0.245,0.489,91.2,28.4,1.98,32.56,6.1,0,0,13.7,33.1,0,0,0.898,test,s3://sat-imagery/congobasin/T0001/2024/02/01/tile.tif
T0001,T0001_20240301,3/1/2024,Congo Basin,DRC,Tropical Rainforest,-3.07997,17.87613,488.1,2.8,432.9,23.7,33.9,6,0.607,0.263,0.511,91.2,28.4,1.98,32.56,6.1,0,0,13.7,33.1,0,0,0.9,test,s3://sat-imagery/congobasin/T0001/2024/03/01/tile.tif
T0001,T0001_20240401,4/1/2024,Congo Basin,DRC,Tropical Rainforest,-3.07997,17.87613,488.1,2.8,383.5,23.9,17.6,2,0.645,0.25,0.498,91.2,28.4,1.98,32.56,6.1,0,0,13.7,33.1,0,0,0.887,test,s3://sat-imagery/congobasin/T0001/2024/04/01/tile.tif
T0001,T0001_20240501,5/1/2024,Congo Basin,DRC,Tropical Rainforest,-3.07997,17.87613,488.1,2.8,393.4,24.3,55.8,1,0.656,0.27,0.466,91.2,28.4,1.98,32.56,6.1,0,0,13.7,33.1,0,0,0.883,test,s3://sat-imagery/congobasin/T0001/2024/05/01/tile.tif
T0001,T0001_20240601,6/1/2024,Congo Basin,DRC,Tropical Rainforest,-3.07997,17.87613,488.1,2.8,183.4,24.9,59.4,2,0.574,0.217,0.457,91.2,28.4,1.98,32.56,6.1,0,0,13.7,33.1,0,0,0.898,test,s3://sat-imagery/congobasin/T0001/2024/06/01/tile.tif
T0001,T0001_20240701,7/1/2024,Congo Basin,DRC,Tropical Rainforest,-3.07997,17.87613,488.1,2.8,153,25.5,28.2,7,0.585,0.209,0.443,91.2,28.4,1.98,32.56,6.1,0,0,13.7,33.1,1.6,1,0.913,test,s3://sat-imagery/congobasin/T0001/2024/07/01/tile.tif
T0001,T0001_20240801,8/1/2024,Congo Basin,DRC,Tropical Rainforest,-3.07997,17.87613,488.1,2.8,6.2,25.9,13.4,7,0.456,0.032,0.4,91.2,28.4,1.98,32.56,6.1,0,0,13.7,33.1,1.6,1,0.932,test,s3://sat-imagery/congobasin/T0001/2024/08/01/tile.tif
T0001,T0001_20240901,9/1/2024,Congo Basin,DRC,Tropical Rainforest,-3.07997,17.87613,488.1,2.8,66.6,26.1,24,5,0.512,0.1,0.423,91.2,28.4,1.98,32.56,6.1,0,0,13.7,33.1,1.6,1,0.92,test,s3://sat-imagery/congobasin/T0001/2024/09/01/tile.tif
T0001,T0001_20241001,10/1/2024,Congo Basin,DRC,Tropical Rainforest,-3.07997,17.87613,488.1,2.8,81.1,26,41.3,7,0.547,0.082,0.443,91.2,28.4,1.98,32.56,6.1,0,0,13.7,33.1,1.6,1,0.923,test,s3://sat-imagery/congobasin/T0001/2024/10/01/tile.tif
